标题,评分,类型,地区,时长,上映时间
疯狂原始人,8.9,"['喜剧', '动画', '冒险']",美国,98,2013-04-20 
阿凡达,8.9,"['动作', '科幻', '冒险']",美国、英国,162,2010-01-04 
哈尔的移动城堡,8.9,"['动画', '奇幻', '冒险']",日本,119,2004-09-05 
盗梦空间,8.9,"['剧情', '科幻', '悬疑', '冒险']",美国、英国,148,2010-09-01 
忠犬八公的故事,8.9,['剧情'],美国、英国,93,2009-06-13 
拯救大兵瑞恩,8.9,"['剧情', '历史', '战争']",美国,169,1998-11-13 
活着,9.0,"['剧情', '家庭', '历史']",中国大陆、中国香港,132,1994-05-17 
机器人总动员,9.0,"['喜剧', '科幻', '动画']",美国,98,2008-06-27 
天堂电影院,9.0,"['剧情', '爱情']",意大利、法国,155,1988-11-17 
指环王2：双塔奇兵,9.0,"['剧情', '动作', '奇幻', '冒险']",美国、新西兰,179,2003-04-25 
指环王1：护戒使者,9.0,"['剧情', '动作', '奇幻', '冒险']",新西兰、美国,178,2002-04-04 
射雕英雄传之东成西就,9.0,"['喜剧', '奇幻', '武侠', '古装']",中国香港,113,1993-02-05 
蝙蝠侠：黑暗骑士,9.0,"['剧情', '动作', '科幻', '惊悚', '犯罪']",美国、英国,152,2008-07-14 
无间道,9.0,"['剧情', '悬疑', '犯罪']",中国香港,101,2003-09-05 
教父2,9.0,"['剧情', '犯罪']",美国,202,1974-12-12 
加勒比海盗,9.0,"['动作', '奇幻', '冒险']",美国,143,2003-11-21 
哈利·波特与魔法石,9.0,"['奇幻', '冒险']",美国、英国,152,2002-01-26 
指环王3：王者无敌,9.0,"['剧情', '动作', '奇幻', '冒险']",美国、新西兰,201,2004-03-15 
黑客帝国,9.0,"['动作', '科幻']",美国、澳大利亚,136,2000-01-14 
剪刀手爱德华,9.0,"['剧情', '爱情', '奇幻']",美国,105,1990-12-06 
春光乍泄,9.0,"['剧情', '爱情']",中国香港、日本、韩国,96,1997-05-17 
大闹天宫,9.0,"['动画', '奇幻']",中国大陆,114,1965-12-31 
天空之城,9.0,"['动画', '奇幻', '冒险']",日本,125,1992-05-01 
音乐之声,9.0,"['剧情', '爱情', '歌舞', '传记']",美国,174,1965-03-02 
辛德勒的名单,9.5,"['剧情', '历史', '战争']",美国,195,1993-11-30 
魂断蓝桥,9.5,"['剧情', '爱情', '战争']",美国,108,1940-05-17 
